comb7_str_key,comb5_name,comb5_nn,comb5_str_key
"2,3,4,5,10,13,14_2,3,5,10,13",FLUSH,6389,"2,3,5,10,13_fl"
"3,4,5,8,9,11,14_unfl",HIGH_CARD,962,"5,8,9,11,14_unfl"
"5,6,7,9,11,14,14_5,7,9,11,14",FLUSH,6820,"5,7,9,11,14_fl"
"2,3,3,8,9,10,13_2,3,8,9,13",FLUSH,6373,"2,3,8,9,13_fl"
"2,3,4,6,6,10,10_unfl",TWO_PAIRS,4491,"4,6,6,10,10_unfl"
"2,4,7,8,10,11,13_2,4,7,11,13",FLUSH,6455,"2,4,7,11,13_fl"
"2,3,5,6,6,11,13_2,3,5,6,11,13",FLUSH,6452,"3,5,6,11,13_fl"
"2,3,4,7,9,10,14_2,3,4,9,10,14",FLUSH,6753,"3,4,9,10,14_fl"
"2,4,8,8,10,10,11_2,4,8,10,11",FLUSH,6075,"2,4,8,10,11_fl"
"5,6,7,9,12,12,14_5,6,7,9,14",FLUSH,6700,"5,6,7,9,14_fl"
"2,2,5,7,7,8,9_2,5,7,8,9",FLUSH,5909,"2,5,7,8,9_fl"
"3,6,8,8,11,12,13_3,8,11,12,13",FLUSH,6628,"3,8,11,12,13_fl"
"5,6,9,10,11,13,14_5,6,10,11,13",FLUSH,6509,"5,6,10,11,13_fl"
"2,3,6,7,8,12,14_2,6,7,8,12",FLUSH,6140,"2,6,7,8,12_fl"
"2,4,4,5,6,9,10_2,4,5,6,9",FLUSH,5884,"2,4,5,6,9_fl"
"2,4,4,5,6,6,11_2,4,5,6,11",FLUSH,5987,"2,4,5,6,11_fl"
"4,5,6,7,8,11,12_4,5,6,7,11,12",FLUSH,6254,"5,6,7,11,12_fl"
"4,5,5,6,8,10,11_unfl",ONE_PAIR,2019,"5,5,8,10,11_unfl"
"2,2,7,10,12,12,12_unfl",FULL_HOUSE,7260,"2,2,12,12,12_unfl"
"2,3,4,5,8,11,14_2,4,5,8,11,14",FLUSH,6797,"4,5,8,11,14_fl"
"2,4,6,7,7,7,13_unfl",THREE_OF_KIND,5374,"6,7,7,7,13_unfl"
"5,6,9,11,11,12,13_5,6,9,11,12,13",FLUSH,6637,"6,9,11,12,13_fl"
"3,3,4,6,6,11,12_3,4,6,11,12",FLUSH,6241,"3,4,6,11,12_fl"
"3,4,7,8,9,11,13_3,4,8,9,11",FLUSH,6041,"3,4,8,9,11_fl"
